Name,Album,Artist,Album_Artist,Genre,Year,Date_Added,Group,Play_Count,Location,All_Artists,Comments,Composer
Sunshine,Nothing But The Beat Ultimate,David Guetta & Avicii,David Guetta,Progressive House,2013,2016-01-01 18:31:54,?,9,iTunes Media/Music/David Guetta/Nothing But The Beat Ultimate/2-02 Sunshine.m4a,"Avicii, David Guetta",,
Lunar,Nothing But The Beat Ultimate,David Guetta & Afrojack,David Guetta,Electro House,2013,2016-01-01 18:31:54,?,6,iTunes Media/Music/David Guetta/Nothing But The Beat Ultimate/2-03 Lunar.m4a,"Afrojack, David Guetta",,
What The F***,Nothing But The Beat Ultimate,David Guetta,David Guetta,Electro House,2013,2016-01-01 18:31:54,?,21,iTunes Media/Music/David Guetta/Nothing But The Beat Ultimate/2-04 What The F___.mp3,David Guetta,,
Metropolis,Nothing But The Beat Ultimate,David Guetta & Nicky Romero,David Guetta,Progressive House,2013,2016-01-01 18:31:54,?,7,iTunes Media/Music/David Guetta/Nothing But The Beat Ultimate/2-05 Metropolis.mp3,"David Guetta, Nicky Romero",,
The Alphabet,Nothing But The Beat Ultimate,David Guetta,David Guetta,Progressive House,2013,2016-01-01 18:31:54,?,16,iTunes Media/Music/David Guetta/Nothing But The Beat Ultimate/2-06 The Alphabet.m4a,David Guetta,,
Metro Music,Nothing But The Beat Ultimate,David Guetta,David Guetta,Electro House,2013,2016-01-01 18:31:54,?,6,iTunes Media/Music/David Guetta/Nothing But The Beat Ultimate/2-07 Metro Music.m4a,David Guetta,,
Toy Story,Nothing But The Beat Ultimate,David Guetta,David Guetta,8-Bit House,2013,2016-01-01 18:31:54,?,15,iTunes Media/Music/David Guetta/Nothing But The Beat Ultimate/2-08 Toy Story.m4a,David Guetta,,
The Future,Nothing But The Beat Ultimate,David Guetta & Afrojack,David Guetta,Progressive House,2013,2016-01-01 18:31:54,?,9,iTunes Media/Music/David Guetta/Nothing But The Beat Ultimate/2-09 The Future.m4a,"Afrojack, David Guetta",,
Dreams,Nothing But The Beat Ultimate,David Guetta,David Guetta,Electro House,2013,2016-01-01 18:31:54,?,8,iTunes Media/Music/David Guetta/Nothing But The Beat Ultimate/2-10 Dreams.m4a,David Guetta,,
Paris,Nothing But The Beat Ultimate,David Guetta,David Guetta,Electro House,2013,2016-01-01 18:31:54,?,4,iTunes Media/Music/David Guetta/Nothing But The Beat Ultimate/2-11 Paris.m4a,David Guetta,,
Glasgow,Nothing But The Beat Ultimate,David Guetta,David Guetta,Electro House,2013,2016-01-01 18:31:54,?,6,iTunes Media/Music/David Guetta/Nothing But The Beat Ultimate/2-12 Glasgow.m4a,David Guetta,,
Little Bad Girl [Instrumental Edit.],Nothing But The Beat Ultimate,David Guetta,David Guetta,Progressive House,2013,2016-01-01 18:31:54,?,28,iTunes Media/Music/David Guetta/Nothing But The Beat Ultimate/2-13 Little Bad Girl [Instrumental E.m4a,David Guetta,,
Baby When The Light,Pop Life,David Guetta (feat. Cozi),David Guetta,House,2007,2016-01-01 18:31:54,,2,iTunes Media/Music/David Guetta/Pop Life/01 Baby When The Light.m4a,"Cozi, David Guetta",,
Love Is Gone [Original Mix],Pop Life,David Guetta (feat. Chris Willis),David Guetta,House,2007,2016-01-01 18:31:54,,6,iTunes Media/Music/David Guetta/Pop Life/02 Love Is Gone [Original Mix].m4a,"Chris Willis, David Guetta",,
Everytime We Touch,Pop Life,"David Guetta (feat. Chris Willis, Sebastian Ingrosso & Steve Angello)",David Guetta,House,2007,2016-01-01 18:31:54,,2,iTunes Media/Music/David Guetta/Pop Life/03 Everytime We Touch.m4a,"Chris Willis, David Guetta, Sebastian Ingrosso, Steve Angello",,
Delirious,Pop Life,David Guetta (feat. Tara McDonald),David Guetta,House,2007,2016-01-01 18:31:54,,15,iTunes Media/Music/David Guetta/Pop Life/04 Delirious.m4a,"David Guetta, Tara McDonald",,
Tomorrow Can Wait,Pop Life,David Guetta (feat. Chris Willis & Tocadisco),David Guetta,House,2007,2016-01-01 18:31:54,,8,iTunes Media/Music/David Guetta/Pop Life/05 Tomorrow Can Wait.m4a,"Chris Willis, David Guetta, Tocadisco",,
Winner Of The Game,Pop Life,David Guetta (feat. J.D. Davis),David Guetta,House,2007,2016-01-01 18:31:54,,6,iTunes Media/Music/David Guetta/Pop Life/06 Winner Of The Game.m4a,"David Guetta, J.D. Davis",,
Do Something Love,Pop Life,David Guetta (feat. Juliet),David Guetta,House,2007,2016-01-01 18:31:54,,0,iTunes Media/Music/David Guetta/Pop Life/07 Do Something Love.m4a,"David Guetta, Juliet",,
You're Not Alone,Pop Life,David Guetta (feat. Tara McDonald),David Guetta,House,2007,2016-01-01 18:31:54,,0,iTunes Media/Music/David Guetta/Pop Life/08 You're Not Alone.m4a,"David Guetta, Tara McDonald",,
Never Take Away My Freedom,Pop Life,David Guetta (feat. Chris Willis),David Guetta,House,2007,2016-01-01 18:31:54,,7,iTunes Media/Music/David Guetta/Pop Life/09 Never Take Away My Freedom.m4a,"Chris Willis, David Guetta",,
This Is Not A Love Song,Pop Life,David Guetta (feat. J.D. Davis),David Guetta,House,2007,2016-01-01 18:31:54,,3,iTunes Media/Music/David Guetta/Pop Life/10 This Is Not A Love Song.m4a,"David Guetta, J.D. Davis",,
Always,Pop Life,David Guetta (feat. J.D. Davis),David Guetta,House,2007,2016-01-01 18:31:54,,1,iTunes Media/Music/David Guetta/Pop Life/11 Always.m4a,"David Guetta, J.D. Davis",,
Joan Of Arc,Pop Life,David Guetta (feat. Thailand),David Guetta,House,2007,2016-01-01 18:31:54,,0,iTunes Media/Music/David Guetta/Pop Life/12 Joan Of Arc.m4a,"David Guetta, Thailand",,
Love Is Gone,Pop Life,David Guetta (feat. Chris Willis),David Guetta,House,2007,2016-01-01 18:31:54,,20,iTunes Media/Music/David Guetta/Pop Life/13 Love Is Gone.m4a,"Chris Willis, David Guetta",,
Sexy Bitch,Sexy Bitch [Single],David Guetta (feat. Akon),David Guetta,House,2009,2016-01-01 18:31:54,,26,iTunes Media/Music/David Guetta/Sexy Bitch [Single]/Sexy Bitch.m4a,"Akon, David Guetta",,
Ain't A Party,Ain't A Party [Single],David Guetta & Glowinthedark (feat. Harrison),David Guetta & Glowinthedark,Big Room,2013,2016-01-01 18:31:54,?,18,iTunes Media/Music/David Guetta & Glowinthedark/Ain't A Party [Single]/Ain't A Party.mp3,"David Guetta, Glowinthedark, Harrison",,
Fake Music,Fake Music [Single],David Quinn & Yoe Mase,David Quinn & Yoe Mase,Melodic Dubstep,2015,2016-01-01 18:31:54,-,34,iTunes Media/Music/David Quinn & Yoe Mase/Fake Music [Single]/Fake Music.mp3,"David Quinn, Yoe Mase",,
Dear Professor [Eleminate Remix],Dear Professor [Remix],The Deans List,The Deans List,Drumstep / Moombahcore,2014,2016-01-01 18:31:54,?,29,iTunes Media/Music/The Deans List/Dear Professor [Remix]/Dear Professor [Eleminate Remix].mp3,"Eleminate, The Deans List",,
Oh Yeah [T Matthias Remix],Oh Yeah [Remix],Deezy Freeman,Deezy Freeman,Future House / Future Bounce,2015,2016-01-01 18:31:54,SGM CREW,25,iTunes Media/Music/Deezy Freeman/Oh Yeah [Remix]/Oh Yeah [T Matthias Remix].mp3,"Deezy Freeman, T Matthias",,
Headrush,Headrush [Single],Denzal Park & Kevin Breton (feat. Jonny Rose),Denzal Park & Kevin Breton,Progressive House,2014,2016-01-01 18:31:54,ARMADA TRICE,20,iTunes Media/Music/Denzal Park & Kevin Breton/Headrush [Single]/Headrush.mp3,"Denzal Park, Jonny Rose, Kevin Breton",,
Stopping Us [Original Mix],Boombox,Deorro,Deorro,Electro House,2014,2016-01-01 18:31:54,ULTRA / PANDA FUNK,26,iTunes Media/Music/Deorro/Boombox/Stopping Us [Original Mix].mp3,Deorro,,
Five More Hours,Five More Hours [Single],Deorro × Chris Brown,Deorro × Chris Brown,Electro Pop,2015,2016-01-01 18:31:54,PANDA FUNK / PRMD / ULTRA,25,iTunes Media/Music/Deorro × Chris Brown/Five More Hours [Single]/Five More Hours.mp3,"Chris Brown, Deorro",,
Nekozilla,Nekozilla [Single],Different Heaven,Different Heaven,Electro House,2015,2016-01-01 18:31:54,NCS,23,iTunes Media/Music/Different Heaven/Nekozilla [Single]/Nekozilla.mp3,Different Heaven,,
Get Away [Original Mix],Get Away [Single],Digital Bounze & Rel3r (feat. Paul Aiden),Digital Bounze & Rel3r,Electro House,2015,2016-01-01 18:31:55,BELIEVE HOUSE,24,iTunes Media/Music/Digital Bounze & Rel3r/Get Away [Single]/Get Away [Original Mix].mp3,"Digital Bounze, Paul Aiden, Rel3r",,
Hop Up,Hop Up [Single],Digital Math,Digital Math,Glitch Hop / MidTempo,2015,2016-01-01 18:31:55,ARGOFOX,11,iTunes Media/Music/Digital Math/Hop Up [Single]/Hop Up.mp3,Digital Math,,
Find Tomorrow (Ocarina),Find Tomorrow (Ocarina) [Single],Dimitri Vegas & Like Mike (feat. Wolfpack & Katy B),Dimitri Vegas & Like Mike,Progressive House,2014,2016-01-01 18:31:55,THIVA BVBA,20,iTunes Media/Music/Dimitri Vegas & Like Mike/Find Tomorrow (Ocarina) [Single]/Find Tomorrow (Ocarina).mp3,"Dimitri Vegas & Like Mike, Katy B, Wolfpack",,
Tremor (Sentation 2014 Anthem) [Original Mix],Tremor,Dimitri Vegas & Like Mike & Martin Garrix,Dimitri Vegas & Like Mike & Martin Garrix,Big Room,2014,2016-01-01 18:31:55,SPINNIN',22,iTunes Media/Music/Dimitri Vegas & Like Mike & Martin Garri/Tremor/01 Tremor (Sentation 2014 Anthem) [O.mp3,"Dimitri Vegas & Like Mike, Martin Garrix",,
Tremor [T&T Festival Trap Remix],Tremor,Dimitri Vegas & Like Mike & Martin Garrix,Dimitri Vegas & Like Mike & Martin Garrix,Trap,2014,2016-01-01 18:31:55,-,34,iTunes Media/Music/Dimitri Vegas & Like Mike & Martin Garri/Tremor/02 Tremor [T&T Festival Trap Remix].mp3,"Dimitri Vegas & Like Mike, Martin Garrix",,
The Hum,The Hum [Single],Dimitri Vegas & Like Mike VS. Ummet Ozcan,Dimitri Vegas & Like Mike VS. Ummet Ozcan,Big Room,2015,2016-01-01 18:31:55,SMASH THE HOUSE,21,iTunes Media/Music/Dimitri Vegas & Like Mike VS. Ummet Ozca/The Hum [Single]/The Hum.mp3,"Dimitri Vegas & Like Mike, Ummet Ozcan",,
Set It Off [TheFatRat Remix],Express Yourself [Remix EP],Diplo (feat. Lazerdisk Party Sex),Diplo,Electro Industrial,2013,2016-01-01 18:31:55,MAD DECENT,16,iTunes Media/Music/Diplo/Express Yourself [Remix EP]/Set It Off [TheFatRat Remix].mp3,"Diplo, Lazerdisk Party Sex, TheFatRat",,
Came To Party,Came To Party [Single],Dirty Audio,Dirty Audio,Melbourne Bounce,2015,2016-01-01 18:31:55,PANDA FUNK,2,iTunes Media/Music/Dirty Audio/Came To Party [Single]/Came To Party.mp3,Dirty Audio,,
You & Me [Flume Remix],You & Me [Remix],Disclosure (feat. Eliza Dool),Disclosure,Future Bass,2014,2016-01-01 18:31:55,?,19,iTunes Media/Music/Disclosure/You & Me [Remix]/You & Me [Flume Remix].mp3,"Disclosure, Eliza Dool, Flume",,
Stick Em [Original Mix],Stick Em [Single],DJ Isaac & Crystal Lake,DJ Isaac & Crystal Lake,Big Room,2015,2016-01-01 18:31:55,SKINK,12,iTunes Media/Music/DJ Isaac & Crystal Lake/Stick Em [Single]/Stick Em [Original Mix].mp3,"Crystal Lake, DJ Isaac",,
Hearts Will Repair,Hearts Will Repair [Single],DM Galaxy & Blure (feat. Aloma Steele),DM Galaxy & Blure,Drum & Bass,2015,2016-01-01 18:31:55,-,27,iTunes Media/Music/DM Galaxy & Blure/Hearts Will Repair [Single]/Hearts Will Repair.mp3,"Aloma Steele, Blure, DM Galaxy",,
AnyTime [Original Mix],AnyTime [Single],Don Diablo,Don Diablo,Future House / Future Bounce,2014,2016-01-01 18:31:55,SPRS,40,iTunes Media/Music/Don Diablo/AnyTime [Single]/AnyTime [Original Mix].mp3,Don Diablo,,
Chain Reaction (Domino) [Original Mix],Chain Reaction (Domino) [Single],Don Diablo (feat. Kris Kiss),Don Diablo,Future House / Future Bounce,2015,2016-01-01 18:31:55,SPINNIN',60,iTunes Media/Music/Don Diablo/Chain Reaction (Domino) [Single]/Chain Reaction (Domino) [Original Mi.mp3,"Don Diablo, Kris Kiss",,
My Window [Original Mix],My Window [Single],Don Diablo (feat. Maluca),Don Diablo,Future House / Future Bounce,2015,2016-01-01 18:31:55,SPINNIN',28,iTunes Media/Music/Don Diablo/My Window [Single]/My Window [Original Mix].mp3,"Don Diablo, Maluca",,
On My Mind [Original Mix],On My Mind [Single],Don Diablo,Don Diablo,Future House / Future Bounce,2015,2016-01-01 18:31:55,SPINNIN',23,iTunes Media/Music/Don Diablo/On My Mind [Single]/On My Mind [Original Mix].mp3,Don Diablo,,
Universe [Original Mix],Universe [Single],Don Diablo (feat. Emeni),Don Diablo,Future House / Future Bounce,2015,2016-01-01 18:31:55,SPINNIN' DEEP,33,iTunes Media/Music/Don Diablo/Universe [Single]/Universe [Original Mix].mp3,"Don Diablo, Emeni",,
The Next Episode [San Holo Remix],The Next Episode [Remix],Dr. Dre (feat. Snoop Dogg),Dr. Dre,Trap,2014,2016-01-01 18:31:55,?,31,iTunes Media/Music/Dr. Dre/The Next Episode [Remix]/The Next Episode [San Holo Remix].mp3,"Dr. Dre, San Holo, Snoop Dogg",,
Pressure,Pressure [Single],Draper (feat. Laura Brehm),Draper,Electro Rock,2015,2016-01-01 18:31:55,MONSTERCAT,39,iTunes Media/Music/Draper/Pressure [Single]/Pressure.mp3,"Draper, Laura Brehm",,
Baby Oddworld [Netero Remix],Baby Oddworld [EP - Part. 2],DRON,DRON,Dubstep / Brostep / Riddim,2015,2016-01-01 18:31:55,THE POOTY CLUB,26,iTunes Media/Music/DRON/Baby Oddworld [EP - Part. 2]/Baby Oddworld [Netero Remix].mp3,"DRON, Netero",,
Ninja [Original Mix],Ninja [Single],Dropgun,Dropgun,Future House / Future Bounce,2015,2016-01-01 18:31:55,SKINK,33,iTunes Media/Music/Dropgun/Ninja [Single]/Ninja [Original Mix].mp3,Dropgun,,
Slowly,Slowly [Single],Dropout,Dropout,House,2015,2016-01-01 18:31:55,ATLANTIC,29,iTunes Media/Music/Dropout/Slowly [Single]/Slowly.mp3,Dropout,,
Broken,Broken [Single],DubVision,DubVision,Progressive House,2015,2016-01-01 18:31:55,SPINNIN',24,iTunes Media/Music/DubVision/Broken [Single]/Broken.mp3,DubVision,,
Turn It Around [Original Mix],Turn It Around [Single],DubVision,DubVision,Progressive House,2014,2016-01-01 18:31:55,SPINNIN',36,iTunes Media/Music/DubVision/Turn It Around [Single]/01 Turn It Around [Original Mix].mp3,DubVision,,
Turn It Around [Ultra 2015 Instrumental Edit],Turn It Around [Single],DubVision,DubVision,Progressive House,2015,2016-01-01 18:31:55,SPINNIN',18,iTunes Media/Music/DubVision/Turn It Around [Single]/02 Turn It Around [Ultra 2015 Instru.mp3,DubVision,,
Raveheart [Original Mix],Raveheart [Single],DVBBS,DVBBS,Big Room,2015,2016-01-01 18:31:55,SPINNIN',19,iTunes Media/Music/DVBBS/Raveheart [Single]/Raveheart [Original Mix].mp3,DVBBS,,
Tsunami [Original Mix],Tsunami [Single],DVBBS & Borgeous,DVBBS & Borgeous,Big Room,2013,2016-01-01 18:31:55,DOORN,26,iTunes Media/Music/DVBBS & Borgeous/Tsunami [Single]/Tsunami [Original Mix].mp3,"Borgeous, DVBBS",,
Voodoo,Voodoo [Single],DVBBS & Jay Hardway,DVBBS & Jay Hardway,Big Room,2015,2016-01-01 18:31:55,SPINNIN',17,iTunes Media/Music/DVBBS & Jay Hardway/Voodoo [Single]/Voodoo.mp3,"DVBBS, Jay Hardway",,
Against All Odds,Against All Odds [Single],Dyro (feat. Dynamite MC),Dyro,Electro House,2014,2016-01-01 18:31:55,WOLV,41,iTunes Media/Music/Dyro/Against All Odds [Single]/Against All Odds.mp3,"Dynamite MC, Dyro",,
Bittersweet [Conro Remix],Bittersweet [Remix],Dyro & Conro (feat. Envy Monroe),Dyro & Conro,Future Bass,2015,2016-01-01 18:31:55,REVEALED,41,iTunes Media/Music/Dyro & Conro/Bittersweet [Remix]/Bittersweet [Conro Remix].mp3,"Conro, Dyro, Envy Monroe",,
Don't,Don't [Single],Ed Sheeran,Ed Sheeran,Pop,2014,2016-01-01 18:31:55,?,29,iTunes Media/Music/Ed Sheeran/Don't [Single]/Don't.mp3,Ed Sheeran,,
Sing,Sing [Single],Ed Sheeran,Ed Sheeran,Pop,2014,2016-01-01 18:31:55,?,21,iTunes Media/Music/Ed Sheeran/Sing [Single]/Sing.mp3,Ed Sheeran,,
End Credits,End Credits [EP],EDEN (feat. Leah Kelly),EDEN,Alternative,2015,2016-01-01 18:31:55,SEEKING BLUE,22,iTunes Media/Music/EDEN/End Credits [EP]/End Credits.mp3,"EDEN, Leah Kelly",,
Nocturne [Pierce Fulton Remix],Nocturne [Remix],EDEN,EDEN,Tropical House / Brazilian Bass,2015,2016-01-01 18:31:56,SEEKING BLUE / MCMXCV,11,iTunes Media/Music/EDEN/Nocturne [Remix]/Nocturne [Pierce Fulton Remix].mp3,"EDEN, Pierce Fulton",,
Home,Home [Single],Edward Sharpe & The Magnetic Zeros,Edward Sharpe & The Magnetic Zeros,Pop / Rock,2009,2016-01-01 18:31:56,,16,iTunes Media/Music/Edward Sharpe & The Magnetic Zeros/Home [Single]/Home.mp3,Edward Sharpe & The Magnetic Zeros,,
Nutcracker,Nutcracker [Single],EH!DE,EH!DE,Dubstep / Brostep / Riddim,2015,2016-01-01 18:31:56,-,24,iTunes Media/Music/EH!DE/Nutcracker [Single]/Nutcracker.mp3,EH!DE,,
À Tout Moment La Rue,A Tout Moment La Rue [Single],Eiffel,Eiffel,Rock Français,2009,2016-01-01 18:31:56,,20,iTunes Media/Music/Eiffel/A Tout Moment La Rue [Single]/À Tout Moment La Rue.mp3,Eiffel,,
Age Of Innocence [Extended Mix],Age Of Innocence (Single),Elephante (feat. Trouze & Damon Sharpe),Elephante,Progressive House,2015,2016-01-01 18:31:56,ARMADA MUSIC,22,iTunes Media/Music/Elephante/Age Of Innocence (Single)/Age Of Innocence [Extended Mix].mp3,"Damon Sharpe, Elephante, Trouze",,
I Want You,I Want You [Single],Elephante (feat. RUMORS),Elephante,Progressive House,2015,2016-01-01 18:31:56,ARMADA MUSIC,24,iTunes Media/Music/Elephante/I Want You [Single]/I Want You.mp3,"Elephante, RUMORS",,
Burn,Burn [Single],Ellie Goulding,Ellie Goulding,Pop,2013,2016-01-01 18:31:56,?,27,iTunes Media/Music/Ellie Goulding/Burn [Single]/Burn.mp3,Ellie Goulding,,
Berzerk,Berzerk [Single],Eminem,Eminem,Rap,2013,2016-01-01 18:31:56,?,17,iTunes Media/Music/Eminem/Berzerk [Single]/Berzerk.mp3,Eminem,,
Undaunted Limits [Original Mix],Undaunted Limits [Single],Enzo Darren (feat. Lauren Cole),Enzo Darren,Progressive House,2015,2016-01-01 18:31:56,THP MUSIC,25,iTunes Media/Music/Enzo Darren/Undaunted Limits [Single]/Undaunted Limits [Original Mix].mp3,"Enzo Darren, Lauren Cole",,
Space Jungle [Showtek Edit],Space Jungle [Remix],Eva Shaw,Eva Shaw,Big Room,2014,2016-01-01 18:31:56,SKINK,34,iTunes Media/Music/Eva Shaw/Space Jungle [Remix]/Space Jungle [Showtek Edit].mp3,"Eva Shaw, Showtek",,
The Phoenix,The Phoenix [Single],Fall Out Boy,Fall Out Boy,Hard Rock,2013,2016-01-01 18:31:56,?,23,iTunes Media/Music/Fall Out Boy/The Phoenix [Single]/The Phoenix.mp3,Fall Out Boy,,
Turn Up the Love,Turn Up The Love [Single],Far East Movement (feat. Cover Drive),Far East Movement,Pop,2012,2016-01-01 18:31:56,,14,iTunes Media/Music/Far East Movement/Turn Up The Love [Single]/Turn Up the Love.mp3,"Cover Drive, Far East Movement",,
Cinematic [Original Mix],Cinematic [Single],Fedde Le Grand (feat. Denny White),Fedde Le Grand,Progressive House,2015,2016-01-01 18:31:56,ULTRA,22,iTunes Media/Music/Fedde Le Grand/Cinematic [Single]/Cinematic [Original Mix].mp3,"Denny White, Fedde Le Grand",,
Vagrant,Alchemy,Feint (feat. Veela),Feint,Drum & Bass,2015,2016-01-01 18:31:56,LIQUICITY,19,iTunes Media/Music/Feint/Alchemy/Vagrant.mp3,"Feint, Veela",,
Pastels,Then & Now [EP],Feint,Feint,Drum & Bass,2015,2016-01-01 18:31:56,SEEKING BLUE,20,iTunes Media/Music/Feint/Then & Now [EP]/Pastels.mp3,Feint,,
We Won't Be Alone,We Won't Be Alone [Single],Feint (feat. Laura Brehm),Feint,Drum & Bass,2015,2016-01-01 18:31:56,MONSTERCAT,26,iTunes Media/Music/Feint/We Won't Be Alone [Single]/We Won't Be Alone.mp3,"Feint, Laura Brehm",,
C'mon Rave On [Original Mix],C'mon Rave On [Single],Felguk,Felguk,Electro House,2014,2016-01-01 18:31:56,OXYGEN,13,iTunes Media/Music/Felguk/C'mon Rave On [Single]/C'mon Rave On [Original Mix].mp3,Felguk,,
Sky High [Tiësto Edit],Sky High [Remix],Firebeatz,Firebeatz,Big Room,2015,2016-01-01 18:31:56,MUSICAL FREEDOM,14,iTunes Media/Music/Firebeatz/Sky High [Remix]/Sky High [Tiësto Edit].mp3,"Firebeatz, Tiësto",,
GDFR [K Theory Remix],GDFR [Remix],Flo Rida,Flo Rida,Trap,2015,2016-01-01 18:31:56,ATLANTIC / WMG,33,iTunes Media/Music/Flo Rida/GDFR [Remix]/GDFR [K Theory Remix].mp3,"Flo Rida, K Theory",,
Les Blessures Qui Ne Se Voient Pas,Les Blessures Qui Ne Se Voient Pas [Single],Florent Mothe,Florent Mothe,Pop Françaises / Variété,2013,2016-01-01 18:31:56,?,16,iTunes Media/Music/Florent Mothe/Les Blessures Qui Ne Se Voient Pas [Sing/Les Blessures Qui Ne Se Voient Pas.m4a,Florent Mothe,,
Origami [Original Mix],Origami [Single],Florian Picasso,Florian Picasso,Progressive House,2015,2016-01-01 18:31:56,PROTOCOL,16,iTunes Media/Music/Florian Picasso/Origami [Single]/Origami [Original Mix].mp3,Florian Picasso,,
Drop The Game,Lockjaw [EP],Flume & Chet Faker,Flume & Chet Faker,Future Bass,2014,2016-01-01 18:31:56,?,28,iTunes Media/Music/Flume & Chet Faker/Lockjaw [EP]/Drop The Game.mp3,"Chet Faker, Flume",,
Comeback [Original Mix],Comeback [Single],Fox Stevenson,Fox Stevenson,Glitch Hop / MidTempo,2015,2016-01-01 18:31:56,SPINNIN',18,iTunes Media/Music/Fox Stevenson/Comeback [Single]/Comeback [Original Mix].mp3,Fox Stevenson,,
Hoohah [Original Mix],Hoohah [Single],Fox Stevenson & Curbi,Fox Stevenson & Curbi,Future House / Future Bounce,2015,2016-01-01 18:31:56,SPINNIN',26,iTunes Media/Music/Fox Stevenson & Curbi/Hoohah [Single]/Hoohah [Original Mix].mp3,"Curbi, Fox Stevenson",,
Contact,Contact [Single],Fractal,Fractal,Dubstep / Brostep / Riddim,2014,2016-01-01 18:31:56,MONSTERCAT,36,iTunes Media/Music/Fractal/Contact [Single]/Contact.mp3,Fractal,,
Collide,Gaia [LP],Fractal (feat. Danyka Nadeau),Fractal,Dubstep / Brostep / Riddim,2015,2016-01-01 18:31:56,MONSTERCAT,51,iTunes Media/Music/Fractal/Gaia [LP]/Collide.mp3,"Danyka Nadeau, Fractal",,
Some Nights,Some Nights,Fun.,Fun.,Pop / Rock,2012,2016-01-01 18:31:56,,10,iTunes Media/Music/Fun_/Some Nights/01 Some Nights.mp3,Fun.,,
Some Nights [Cignature Remix],Some Nights,Fun.,Fun.,Progressive House,2015,2016-01-01 18:31:56,-,24,iTunes Media/Music/Fun_/Some Nights/02 Some Nights [Cignature Remix].mp3,"Cignature, Fun.",,
We Are Young,We Are Young [Single],Fun. (feat. Janelle Monáe),Fun.,Pop / Rock,2011,2016-01-01 18:31:56,,27,iTunes Media/Music/Fun_/We Are Young [Single]/We Are Young.mp3,"Fun., Janelle Monáe",,
Runaway (U & I) [Yacht Club. Remix],Runaway (U & I),Galantis,Galantis,Future Bass,2015,2016-01-01 18:31:56,ATLANTIC / WMG,27,iTunes Media/Music/Galantis/Runaway (U & I)/02 Runaway (U & I) [Yacht Club. Remi.mp3,"Galantis, Yacht Club.",,
Looking For Love [Dub Mix],Armada Trice - The ADE Collection 2015,Gancci,Gancci,Progressive House,2015,2016-01-01 18:31:56,ARMADA TRICE,24,iTunes Media/Music/Gancci/Armada Trice - The ADE Collection 2015/Looking For Love [Dub Mix].mp3,Gancci,,
Shine Like This [Original Mix],Shine Like This [Single],Gazzo (feat. Allie Crystal),Gazzo,Progressive House,2014,2016-01-01 18:31:56,?,14,iTunes Media/Music/Gazzo/Shine Like This [Single]/Shine Like This [Original Mix].mp3,"Allie Crystal, Gazzo",,
Forth & Back,Forth & Back,Gazzo & Will K (feat. Kyle Richardson),Gazzo & Will K,Progressive House,2014,2016-01-01 18:31:56,ARMADA TRICE,21,iTunes Media/Music/Gazzo & Will K/Forth & Back/01 Forth & Back.mp3,"Gazzo, Kyle Richardson, Will K",,
Forth & Back [Tom & Jame Edit],Forth & Back,Gazzo & Will K (feat. Kyle Richardson),Gazzo & Will K,Big Room,2014,2016-01-01 18:31:56,ARMADA TRICE,27,iTunes Media/Music/Gazzo & Will K/Forth & Back/02 Forth & Back [Tom & Jame Edit].mp3,"Gazzo, Kyle Richardson, Tom & Jame, Will K",,
Get Lucky [Cover],Get Lucky [Cover],George Barnett,George Barnett,Electro Funk,2013,2016-01-01 18:31:56,?,10,iTunes Media/Music/George Barnett/Get Lucky [Cover]/Get Lucky [Cover].mp3,"George Barnett, Daft Punk",,Daft Punk
The Time Traveller,The Time Traveller [EP],Getsix,Getsix,Electro House,2015,2016-01-01 18:31:56,SILVER SKIES / SYMPHONIC DISTRIBUTION,26,iTunes Media/Music/Getsix/The Time Traveller [EP]/The Time Traveller.mp3,Getsix,,
Crazy,Crazy [Single],Gnarls Barkley,Gnarls Barkley,Soul,2006,2016-01-01 18:31:56,,21,iTunes Media/Music/Gnarls Barkley/Crazy [Single]/Crazy.mp3,Gnarls Barkley,,
High Tide,High Tide [Single],Grant Bowtie,Grant Bowtie,Future Bass,2015,2016-01-01 18:31:56,MONSTERCAT,23,iTunes Media/Music/Grant Bowtie/High Tide [Single]/High Tide.mp3,Grant,,
Stereo Hearts,Stereo Hearts [Single],Gym Class Heroes (feat. Adam Levine),Gym Class Heroes,Pop / Rock,2012,2016-01-01 18:31:57,,15,iTunes Media/Music/Gym Class Heroes/Stereo Hearts [Single]/Stereo Hearts.mp3,"Adam Levine, Gym Class Heroes",,
Our Revolution,The Inevitability Of A Strange World,Halifax,Halifax,Metal,2006,2016-01-01 18:31:57,,19,iTunes Media/Music/Halifax/The Inevitability Of A Strange World/Our Revolution.mp3,Halifax,,
Apollo,Apollo,Hardwell (feat. Amba Shepherd),Hardwell,Electro House,2013,2016-01-01 18:31:57,REVEALED,33,iTunes Media/Music/Hardwell/Apollo/01 Apollo.mp3,"Amba Shepherd, Hardwell",,
Apollo [Ultra Edit],Apollo,Hardwell (feat. Amba Shepherd) × Lucky Date & Noisecontrollers,Hardwell,Big Room,2013,2016-01-01 18:31:57,REVEALED,33,iTunes Media/Music/Hardwell/Apollo/02 Apollo [Ultra Edit].mp3,"Amba Shepherd, Hardwell, Lucky Date, Noisecontrollers",,
