Name,Album,Artist,Album_Artist,Genre,Year,Date_Added,Group,Play_Count,Location,All_Artists,Comments,Composer
Derp,AИimals,Approaching Nirvana (feat. SSundee),Approaching Nirvana,Big Room,2014,2016-01-01 18:31:15,?,25,iTunes Media/Music/Approaching Nirvana/AИimals/05 Derp.mp3,"Approaching Nirvana, SSundee",,
Scorpion,AИimals,Approaching Nirvana,Approaching Nirvana,Progressive House,2014,2016-01-01 18:31:15,?,28,iTunes Media/Music/Approaching Nirvana/AИimals/06 Scorpion.mp3,Approaching Nirvana,,
These Last Days,AИimals,Approaching Nirvana (feat. Brenton Mattheus),Approaching Nirvana,Progressive House,2014,2016-01-01 18:31:15,?,23,iTunes Media/Music/Approaching Nirvana/AИimals/07 These Last Days.mp3,"Approaching Nirvana, Brenton Mattheus",,
Borealis,AИimals,Approaching Nirvana,Approaching Nirvana,Progressive House,2014,2016-01-01 18:31:15,?,23,iTunes Media/Music/Approaching Nirvana/AИimals/08 Borealis.mp3,Approaching Nirvana,,
The Field,AИimals,Approaching Nirvana,Approaching Nirvana,Electro House,2014,2016-01-01 18:31:15,?,30,iTunes Media/Music/Approaching Nirvana/AИimals/09 The Field.mp3,Approaching Nirvana,,
Celtic Rumors,AИimals,Approaching Nirvana,Approaching Nirvana,Progressive House,2014,2016-01-01 18:31:15,?,35,iTunes Media/Music/Approaching Nirvana/AИimals/10 Celtic Rumors.mp3,Approaching Nirvana,,
Keeps Me Breathing,AИimals,Approaching Nirvana (feat. Chloe Dolandis),Approaching Nirvana,Progressive House,2014,2016-01-01 18:31:15,?,24,iTunes Media/Music/Approaching Nirvana/AИimals/11 Keeps Me Breathing.mp3,"Approaching Nirvana, Chloe Dolandis",,
Their Story,AИimals,Approaching Nirvana,Approaching Nirvana,House,2014,2016-01-01 18:31:15,?,24,iTunes Media/Music/Approaching Nirvana/AИimals/12 Their Story.mp3,Approaching Nirvana,,
Virtual Is Where We Live,AИimals,Approaching Nirvana (feat. TryHardNinja),Approaching Nirvana,Progressive House,2014,2016-01-01 18:31:15,?,28,iTunes Media/Music/Approaching Nirvana/AИimals/13 Virtual Is Where We Live.mp3,"Approaching Nirvana, TryHardNinja",,
Zero Cool,AИimals,Approaching Nirvana,Approaching Nirvana,Electro House,2014,2016-01-01 18:31:15,?,30,iTunes Media/Music/Approaching Nirvana/AИimals/14 Zero Cool.mp3,Approaching Nirvana,,
I'm On Fire,AИimals,Approaching Nirvana,Approaching Nirvana,Progressive House,2014,2016-01-01 18:31:15,?,30,iTunes Media/Music/Approaching Nirvana/AИimals/15 I'm On Fire.mp3,Approaching Nirvana,,
Every Little Symbol,AИimals,Approaching Nirvana,Approaching Nirvana,Electro House,2014,2016-01-01 18:31:15,?,29,iTunes Media/Music/Approaching Nirvana/AИimals/16 Every Little Symbol.mp3,Approaching Nirvana,,
Turn Me On,AИimals,Approaching Nirvana,Approaching Nirvana,Electro House,2014,2016-01-01 18:31:15,?,26,iTunes Media/Music/Approaching Nirvana/AИimals/17 Turn Me On.mp3,Approaching Nirvana,,
Shifting Tides,AИimals,Approaching Nirvana,Approaching Nirvana,Electronica,2014,2016-01-01 18:31:15,?,32,iTunes Media/Music/Approaching Nirvana/AИimals/18 Shifting Tides.mp3,Approaching Nirvana,,
Almost Blue,AИimals,Approaching Nirvana,Approaching Nirvana,Electronica,2014,2016-01-01 18:31:15,?,37,iTunes Media/Music/Approaching Nirvana/AИimals/19 Almost Blue.mp3,Approaching Nirvana,,
I'm Going Home,AИimals,Approaching Nirvana,Approaching Nirvana,Classique,2014,2016-01-01 18:31:15,?,35,iTunes Media/Music/Approaching Nirvana/AИimals/20 I'm Going Home.mp3,Approaching Nirvana,,
